StudentStressSurvey_Id,Textbooks And Course,"Online Resources (eg Educational Websites, Ebooks)",Video lectures or tutorials,Audio recording and wildcard,Library Resources,Hostel Doom Room,School Libarary,Study Hall Common Areas,Cafes,"Outdoor (Parks, Campus Ground)",Desktop,Laptop,Tablets,Smartphone,Traditional Notes,How Often Do You Take Breaks During A Typical Study Session,What Are Your Primary Methods For Retaining Information,How Do You Assess Your Understanding And Retention Of Study Materials,What Challenges Do You Face Most Often When Studying,On Average How Many Hours Do You Spend Studying Each Day,Are You Involved In Any Extracurricular Activities,Which Types Of Extracurricular Activities Are You InvolvedI n,How Would You Rate Your Overall Health Currently,How Would You Rate Your Stress Level During This Academic Term,To What Extent Do You Believe Stress Affects Your Physical Health,Indicate How Much Academic Workload Contribute to stress,How Pressure To Perform Well In Exams Significantly Impacts My Stress Levels,How Time Constraints Significantly Increase My Stress Levels During Examinations,Lack Of SleepIs A Frequent Issue For Me During Exam Periods,My Eating Habits Worsen During Exam Periods,How Frequently Do You Experience Health Issues Such As Headaches Or Other Minor Ailments,When You Experience These Health Issues How Do They Affect Your Ability To Study,What Measures Do You Take To Manage Minor Ailments Like Headaches When Studying,How Would You Describe The Quality Of Your Sleep On Most Nights,On Average How Many Hours Of Sleep Do You Get On A Typical Night During The School Week,Do You Believe That Your Diet Affects Your Academic Performance,How Would You Rate Your Overall Diet In Terms Of Nutritional Balance,If You Were To Use An Examination Routine Manager How Many Courses Would You Want It To Handle Concurrently
313,3,3,2,3,2,1,4,3,2,2,4,3,2,2,3,Every 30 minutes,Creating and reviewing flashcards,Writing summaries or essays,Lack of motivation,4-6 hours,Yes (Go to 2.10),Volunteer work,,,,,,Extremely,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
312,3,3,2,2,2,1,3,3,2,2,2,1,3,3,2,Every 30 minutes,Re-reading notes and textbooks,Taking practice tests or quizzes,Procrastination,Less than 1 hour,Yes (Go to 2.10),Sports,,,,Quite a bit,,,,,Very frequently,Severely affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
311,3,1,1,3,2,1,3,2,2,1,1,3,3,2,3,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Volunteer work,,,,,Quite a bit,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Very good - I sleep soundly and wake up feeling refreshed.,Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
310,0,3,0,0,0,1,1,3,2,2,2,3,2,2,3,I rarely take breaks during a study session,Creating and reviewing flashcards,Writing summaries or essays,Time management,4-6 hours,No (Go to 3),"Clubs (e.g., debate, science)",,,,Quite a bit,,,,,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,Not at all - My diet does not affect my academics.,Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
309,3,2,1,3,2,1,4,2,1,3,1,3,2,2,4,I rarely take breaks during a study session,Using mnemonic devices,Writing summaries or essays,Lack of motivation,4-6 hours,Yes (Go to 2.10),Student government,,,,Quite a bit,,,,,Rarely,Slightly affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
308,1,4,3,2,3,1,3,2,1,4,1,3,3,1,1,Every two hours,Summarizing topics in my own words,Taking practice tests or quizzes,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Sports,,,,,,Quite a bit,,,,Moderately affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
307,4,2,1,3,3,1,4,3,2,1,1,3,2,1,0,Every hour,Teaching the material to someone else,Writing summaries or essays,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Sports,,,,,Quite a bit,,,,Occasionally,Moderately affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
306,1,3,4,3,2,1,3,3,1,3,1,4,3,2,3,Every two hours,Teaching the material to someone else,Writing summaries or essays,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Volunteer work,,,,,Extremely,,,,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
305,3,1,3,3,2,3,3,3,2,3,4,3,2,3,1,Every hour,Summarizing topics in my own words,Writing summaries or essays,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),"Music or Arts, ""Clubs (e.g., debate, science)",High,High,Moderate,Moderately,Quite a bit,Moderately,Moderately,Moderately,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
304,1,4,3,1,4,1,4,4,3,3,1,3,4,3,1,Every two hours,Re-reading notes and textbooks,Writing summaries or essays,Lack of motivation,4-6 hours,Yes (Go to 2.10),Volunteer work,,,,Extremely,,,,,Occasionally,Moderately affects my studying,Seek medical advice,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
303,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",4-6 hours,No (Go to 3),"Music or Arts, ""Clubs (e.g., debate, science)",High,Very High,Very High,Quite a bit,Quite a bit,Extremely,Extremely,Moderately,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
302,4,3,1,4,3,1,3,3,1,3,3,3,2,3,0,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Music or Arts,,,,Quite a bit,,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
301,3,2,3,2,3,3,2,3,2,2,2,2,2,3,3,Every hour,Re-reading notes and textbooks,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",Moderate,High,,Moderately,Moderately,Moderately,Quite a bit,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
